rank,kp,ki,kd,mean_steps,std_steps,mean_reward,std_reward,survival_rate
1,20.0,0.0,0.0,5000.0,0.0,5616.186705204219,296.6932144926064,1.0
2,20.0,0.5,0.0,5000.0,0.0,5473.022588596417,281.29906419151695,1.0
3,20.0,1.0,0.0,4987.0,56.66568626602876,5324.328991911911,334.03536582268043,0.95
4,20.0,2.0,0.0,4665.35,331.75160512045755,4743.689920811889,644.477736832011,0.35
5,20.0,4.0,0.0,4077.05,653.1513205222815,4127.195960393348,895.6965820972439,0.2
6,30.0,0.5,0.0,4045.15,667.5299450211953,4040.5299609530075,816.8729452839394,0.1
7,30.0,0.0,0.0,4019.8,721.5779652955042,4105.484062971252,1013.3628181639461,0.25
8,30.0,2.0,0.0,3715.7,647.3431161293059,3696.4770473946387,798.3224927134628,0.05
9,30.0,1.0,0.0,3601.45,584.5205278687824,3577.9450184092466,830.92169002547,0.1
10,30.0,4.0,0.0,3179.0,750.014199865576,3138.8645622184117,928.7898809832144,0.05
11,40.0,0.0,0.0,2933.2,763.6864277961209,2897.5240871536453,968.5476853681326,0.05
12,40.0,0.5,0.0,2865.85,778.7418233920661,2827.39868496932,1019.7837314450705,0.05
13,40.0,1.0,0.0,2774.4,822.7251302834987,2724.6988424445344,959.0355581441124,0.05
14,40.0,2.0,0.0,2366.75,530.6467633935026,2251.7438387844945,630.618297363665,0.0
15,40.0,4.0,0.0,2294.1,482.69057376335826,2197.9866027476787,554.5126184187039,0.0
16,50.0,0.5,0.0,2123.05,355.1566520565256,2018.5580430907225,426.6970067276944,0.0
17,50.0,2.0,0.0,2105.05,598.1036260548836,2017.2564923214559,705.4000309275706,0.0
18,50.0,0.0,0.0,2098.6,384.49465535947314,1970.7495947842606,458.3461074400791,0.0
19,50.0,1.0,0.0,1992.35,190.10767343797568,1858.953298184663,231.44680598004334,0.0
20,60.0,0.0,0.0,1903.8,310.61561454633926,1771.0400964359164,371.2549271537836,0.0
21,50.0,4.0,0.0,1886.45,426.80996649562906,1771.1360205654364,489.8821314225776,0.0
22,60.0,2.0,0.0,1856.1,508.6240163421307,1759.1957695792912,600.7676120175371,0.0
23,60.0,1.0,0.0,1788.9,325.9507478132241,1672.947125150642,386.2944739007614,0.0
24,60.0,4.0,0.0,1750.25,426.672224898692,1637.2562334500822,506.38843327822934,0.0
25,80.0,0.5,0.0,1585.25,420.16102567944114,1469.6077833175211,492.3305316348093,0.0
26,60.0,0.5,0.0,1580.7,208.12186333972699,1414.1329076090046,240.70103730277293,0.0
27,80.0,4.0,0.0,1421.4,418.7463910292243,1293.5823109944827,496.6194723526114,0.0
28,80.0,0.0,0.0,1406.5,264.06315532463066,1259.2174844670535,311.65802655584514,0.0
29,80.0,2.0,0.0,1337.85,249.61015103556986,1179.2532552249718,296.12478998179665,0.0
30,80.0,1.0,0.0,1319.85,359.0657704376734,1155.3753736414058,419.8232918913947,0.0
31,100.0,1.0,0.0,1223.1,298.9754003258462,1039.8370029795801,338.61264762960394,0.0
32,100.0,0.0,0.0,1212.15,334.0650049017406,1051.398902638599,370.32590744624986,0.0
33,100.0,2.0,0.0,1155.55,290.9676055852266,996.8957770144477,343.1042680876516,0.0
34,100.0,0.5,0.0,1137.45,220.65889399704696,957.3062045202523,242.3387741068016,0.0
35,100.0,4.0,0.0,1107.1,197.4307220267403,941.7421986226933,221.197356370449,0.0
36,40.0,2.0,1.0,205.75,64.19959112019328,97.00434528551106,60.30895094111884,0.0
37,80.0,4.0,1.0,196.15,69.06538568631903,88.17933036830911,75.23889572250413,0.0
38,100.0,0.5,1.0,193.3,46.258080375216615,85.16185028184731,44.585028827676894,0.0
39,100.0,4.0,1.0,189.7,55.37517494329024,79.02958495270742,61.325206090881764,0.0
40,60.0,0.0,1.0,188.65,42.974730947383485,83.30266610821243,52.87150617112042,0.0
41,30.0,0.0,1.0,187.05,64.98267076690523,84.41890024556942,69.10701566564494,0.0
42,80.0,1.0,1.0,184.25,47.31054322241502,73.47976586722461,44.87150094137413,0.0
43,100.0,0.0,1.0,181.4,39.04791927875287,67.97691055899844,38.69018255161832,0.0
44,100.0,1.0,1.0,180.55,48.634838336320186,69.42062033308133,52.47944163544644,0.0
45,50.0,1.0,1.0,179.6,47.10562599095781,80.73648587476026,52.13886706671723,0.0
46,60.0,4.0,1.0,178.6,30.89886729315494,70.41097943445376,33.24393247693672,0.0
47,80.0,2.0,1.0,178.5,48.27369884315889,68.82212745302499,52.15654210844708,0.0
48,100.0,2.0,1.0,178.2,48.293477820509054,64.24822017051595,46.52126541576852,0.0
49,60.0,0.5,1.0,177.8,36.20718160807328,61.0284064874927,35.76211451197583,0.0
50,50.0,0.5,1.0,177.05,74.22767341093214,72.93416690156222,81.76197089678357,0.0
51,50.0,4.0,1.0,176.8,47.280651433752475,70.96954697810149,46.95221793205572,0.0
52,50.0,0.0,1.0,175.3,57.627337262795685,64.23796435578998,61.379036090358824,0.0
53,60.0,2.0,1.0,174.05,43.7178167341417,71.8636345647523,49.13252226199883,0.0
54,30.0,0.5,1.0,173.6,42.784810388734925,73.78929570078485,49.653411059740286,0.0
55,30.0,2.0,1.0,173.25,59.51543917337752,72.74511628649677,66.28960043852611,0.0
56,80.0,0.5,1.0,173.1,34.89828075994575,62.47963407591442,40.02905500134945,0.0
57,60.0,1.0,1.0,166.25,37.912893585164404,56.904342229731114,38.54877433498166,0.0
58,50.0,2.0,1.0,164.8,47.723788617418045,60.53150558157397,53.003127141564114,0.0
59,40.0,0.0,1.0,162.65,43.79300743269409,57.50699733901117,40.25601376744618,0.0
60,30.0,4.0,1.0,159.95,34.95064377089498,55.746625295905496,34.11427720526028,0.0
61,80.0,0.0,1.0,159.6,28.06492472820834,47.682046742706326,21.191617325693674,0.0
62,30.0,1.0,1.0,157.35,24.035962639345236,54.07340470027556,24.85701242304012,0.0
63,40.0,4.0,1.0,154.5,47.12589521696113,54.60973766293881,51.306353301196964,0.0
64,20.0,0.5,1.0,154.35,53.532490134496825,43.86433319360305,55.161375145443365,0.0
65,40.0,1.0,1.0,154.15,40.78268627738982,52.12159518728413,42.19096654524684,0.0
66,20.0,1.0,1.0,152.15,53.97339622443635,43.378049920584616,55.94615734486691,0.0
67,20.0,0.0,1.0,146.65,48.61200983296206,34.89400401983163,42.56058571904872,0.0
68,20.0,2.0,1.0,145.75,48.52615274261911,32.22715738665896,41.17465886462873,0.0
69,40.0,0.5,1.0,141.45,37.041159539085704,36.35293580242719,35.68496336817758,0.0
70,20.0,4.0,1.0,133.65,40.525640031960016,24.929817108281096,41.942006945679545,0.0
71,80.0,2.0,2.0,110.55,22.424261414815874,6.369269466571337,25.09363470915422,0.0
72,100.0,0.0,2.0,109.7,29.636295315035582,1.1835407562936915,23.77760951851865,0.0
73,60.0,0.5,2.0,107.4,37.48519707831346,-1.5428799426117195,32.09413210962228,0.0
74,80.0,0.5,2.0,106.15,19.34754506390927,-1.553381780620919,21.97055359324569,0.0
75,80.0,0.0,2.0,105.75,24.19684896840909,-2.634727914616703,23.520994929455743,0.0
76,80.0,1.0,2.0,105.15,12.108984267889689,-7.197895089828135,3.7599403679275865,0.0
77,100.0,1.0,2.0,102.0,37.07020366817533,-5.333252629995188,34.58696774291607,0.0
78,50.0,0.0,2.0,101.85,51.242828766569865,-6.897532237097062,48.646986766330656,0.0
79,80.0,4.0,2.0,100.7,24.759038753554226,-3.599511346849764,22.671430029806203,0.0
80,100.0,0.5,2.0,100.05,29.372563728758852,-5.6813854398880155,26.455813166717725,0.0
81,60.0,0.0,2.0,98.45,33.480554057542115,-11.540364187571475,29.803718381204053,0.0
82,100.0,4.0,2.0,95.75,13.53098296503251,-10.426077268189406,15.1297692912138,0.0
83,60.0,1.0,2.0,95.5,45.51867748518183,-13.008481792872933,43.26300544292521,0.0
84,60.0,2.0,2.0,95.35,32.33461767208636,-14.579087194820332,27.484597195708293,0.0
85,100.0,2.0,2.0,95.3,16.825872934264066,-11.56312916530209,15.372193923869835,0.0
86,60.0,4.0,2.0,93.75,31.417948691790812,-13.59063749301628,30.033614063931225,0.0
87,50.0,0.5,2.0,92.45,39.56447269963294,-12.43816643869995,39.48806049095336,0.0
88,50.0,1.0,2.0,81.95,32.76350866436621,-26.028391632552086,28.75685407490218,0.0
89,50.0,4.0,2.0,81.2,36.3835127495958,-25.69306148887504,33.16127372073791,0.0
90,50.0,2.0,2.0,79.8,32.62912809132355,-26.719047230599376,30.24758380173385,0.0
91,20.0,0.0,2.0,78.95,17.828278099693193,-19.85810969844376,20.761534047660177,0.0
92,20.0,0.5,2.0,78.2,15.37075144552146,-20.77717722467991,17.96680138218535,0.0
93,30.0,0.5,2.0,75.05,15.393099103169575,-25.53685566050853,16.917240725233455,0.0
94,40.0,0.0,2.0,74.8,29.795301643044333,-28.042131253472895,29.636122898697536,0.0
95,20.0,1.0,2.0,74.5,9.604686356149273,-24.971441904733258,11.119021080465735,0.0
96,20.0,2.0,2.0,72.45,8.363462201743964,-27.789209906170164,9.924434714577755,0.0
97,30.0,2.0,2.0,72.25,15.361884650003072,-28.626718559058247,17.00090152718038,0.0
98,30.0,1.0,2.0,72.1,12.715738279785409,-29.05251458485592,14.074070799753292,0.0
99,30.0,4.0,2.0,70.25,12.94942083646987,-30.54724867174433,14.210739941968445,0.0
100,30.0,0.0,2.0,70.1,13.363756956784272,-31.130019907603714,14.759831082640272,0.0
101,40.0,0.5,2.0,70.1,34.666842948269746,-34.21466819994878,27.789460090859386,0.0
102,40.0,4.0,2.0,70.05,29.74134327833899,-33.93868032430289,24.354184511151892,0.0
103,40.0,1.0,2.0,69.9,29.57515849492611,-34.32662574558704,24.01120298088005,0.0
104,20.0,4.0,2.0,69.8,8.158431221748454,-30.806682930421807,9.272957504945586,0.0
105,40.0,2.0,2.0,63.9,9.417536832951598,-39.23625726146483,8.99835671649892,0.0
106,20.0,2.0,4.0,57.6,8.16945530620004,-43.72503666413203,9.845404881843296,0.0
107,20.0,1.0,4.0,57.1,6.781592733274389,-44.43162747365825,8.008187283619542,0.0
108,20.0,4.0,4.0,55.3,3.7296112397943038,-46.34352001794342,4.237376281648362,0.0
109,20.0,0.5,4.0,55.2,5.801723881744115,-46.48514347942156,6.820572261330532,0.0
110,20.0,0.0,4.0,54.65,5.833309523760932,-47.23619676458448,6.869546191659793,0.0
111,30.0,0.5,4.0,53.65,8.026674280173575,-48.44183756732449,9.227330747084359,0.0
112,30.0,2.0,4.0,51.95,8.511609718496262,-50.358104249788205,9.821032698641385,0.0
113,50.0,1.0,4.0,51.95,11.863705154798817,-50.40055323634292,13.971704778687435,0.0
114,40.0,0.5,4.0,50.65,6.231171639427051,-51.93773079139477,7.09801950941639,0.0
115,40.0,0.0,4.0,50.3,7.389857914736926,-52.46107946102516,8.517262570859895,0.0
116,30.0,1.0,4.0,50.3,4.637887450122092,-52.46990001950835,5.318351097875362,0.0
117,50.0,0.0,4.0,49.9,12.222520198387892,-52.812959563558266,14.653950828883598,0.0
118,30.0,0.0,4.0,49.8,3.0430248109405875,-52.890942797708455,3.5262010860901047,0.0
119,30.0,4.0,4.0,49.55,4.224630161327735,-53.1435172986819,4.665635229070882,0.0
120,60.0,1.0,4.0,48.55,6.844523358130938,-54.5923574024016,7.960333020235173,0.0
121,40.0,1.0,4.0,48.35,5.772997488307093,-54.54989539246342,6.8201755826866615,0.0
122,50.0,0.5,4.0,48.05,6.931630399841007,-54.96303174397426,8.022068999527988,0.0
123,40.0,4.0,4.0,47.7,4.796873982084583,-55.56982614300911,5.357307229495788,0.0
124,50.0,4.0,4.0,47.4,5.817215828899594,-55.77818698117299,6.553917320008817,0.0
125,60.0,4.0,4.0,46.95,4.811184885243967,-56.21323097546074,5.520536524992208,0.0
126,60.0,2.0,4.0,46.9,5.107837115648853,-56.2552457965226,5.934403016511164,0.0
127,60.0,0.5,4.0,46.75,4.773625456610521,-56.58506483526006,5.449851044936964,0.0
128,20.0,0.0,8.0,46.7,4.8999999999999995,-56.32647028891309,5.53780114987639,0.0
129,20.0,4.0,8.0,46.4,3.5270384177096794,-56.69408865618781,3.848210950727662,0.0
130,40.0,2.0,4.0,46.3,3.1,-57.062759343287624,3.3553888579796043,0.0
131,80.0,0.5,4.0,46.15,5.90148286450109,-57.139945053867294,6.653529576215848,0.0
132,20.0,0.5,8.0,45.95,4.443815927780988,-57.563214947667426,5.164339666731229,0.0
133,50.0,2.0,4.0,45.9,4.011234224026316,-57.368938783668476,4.547082329838534,0.0
134,80.0,0.0,4.0,45.85,6.79908082022857,-57.551899767831955,7.676749929719077,0.0
135,20.0,2.0,8.0,45.65,3.718534657630611,-57.82251248252071,4.235164400554432,0.0
136,20.0,1.0,8.0,45.45,5.490673911279015,-57.87068070327156,6.256041726580342,0.0
137,100.0,4.0,4.0,45.4,10.711675872616759,-58.09154171969567,12.433808417675362,0.0
138,30.0,1.0,8.0,45.35,5.824731753480155,-58.11832631219107,6.912692216816815,0.0
139,60.0,0.0,4.0,45.15,3.5954832776693593,-58.37096335206159,3.826819860364556,0.0
140,30.0,0.0,8.0,45.1,3.269556544854363,-58.37442813239805,3.494854498256539,0.0
141,80.0,4.0,4.0,44.35,5.433921236087251,-59.169024767642796,6.288094291725202,0.0
142,30.0,0.5,8.0,44.3,3.5651086939951777,-59.26448039813009,3.9199611133744328,0.0
143,30.0,2.0,8.0,44.0,3.8858718455450894,-59.501214395008546,4.433790317422166,0.0
144,100.0,2.0,4.0,43.9,5.42125446737192,-59.96429769700304,6.001588950039784,0.0
145,40.0,0.5,8.0,43.8,4.319722213291035,-59.85412937934135,4.827787096004018,0.0
146,100.0,0.5,4.0,43.7,5.532630477449221,-59.98794436962781,6.313226646341357,0.0
147,30.0,4.0,8.0,43.5,2.0124611797498106,-60.180018966184356,2.0981388917568733,0.0
148,80.0,1.0,4.0,43.35,4.552746423863293,-60.27793533391023,5.162836236022596,0.0
149,40.0,1.0,8.0,43.3,4.243819034784589,-60.484127828173335,4.909625570142152,0.0
150,100.0,0.0,4.0,43.15,3.567562192870644,-60.71774349078788,3.873224734363784,0.0
151,40.0,4.0,8.0,43.15,2.669737814842499,-60.84607003609661,2.9099589250150633,0.0
152,100.0,1.0,4.0,42.45,5.826448317800476,-61.32951877017573,6.499704326609632,0.0
153,40.0,2.0,8.0,42.4,3.0066592756745822,-61.45436070012001,3.2511182005870576,0.0
154,60.0,1.0,8.0,42.05,5.739991289191996,-61.81449485729722,6.512713786398527,0.0
155,60.0,4.0,8.0,41.9,3.223352292257239,-62.21200523923998,3.684492602003059,0.0
156,50.0,0.5,8.0,41.85,2.650943228362313,-62.26047388078823,2.8084503715784104,0.0
157,40.0,0.0,8.0,41.65,2.632014437650371,-62.202755114091225,2.9102597854601857,0.0
158,60.0,0.0,8.0,41.65,3.15079355083763,-62.511368057334984,3.3665359277578757,0.0
