rank,kp,ki,kd,mean_steps,std_steps,mean_reward,std_reward,survival_rate
1,12.0,0.0,0.0,5000.0,0.0,5862.66699187885,108.36405605878288,1.0
2,15.0,0.0,0.0,5000.0,0.0,5808.3211397504965,115.23474151993084,1.0
3,15.0,0.25,0.0,5000.0,0.0,5773.898613065083,147.75837813362796,1.0
4,15.0,0.5,0.0,5000.0,0.0,5761.869240885638,151.66630064938187,1.0
5,18.0,0.0,0.0,5000.0,0.0,5686.748190037263,190.47491212114704,1.0
6,18.0,0.75,0.0,5000.0,0.0,5678.587802466549,234.626009550528,1.0
7,18.0,0.5,0.0,5000.0,0.0,5669.550007346432,201.147066671437,1.0
8,18.0,0.25,0.0,5000.0,0.0,5665.193653872088,171.3934747126935,1.0
9,15.0,0.75,0.0,5000.0,0.0,5644.889015745991,198.3784588022751,1.0
10,20.0,0.0,0.0,5000.0,0.0,5616.380130175157,203.12388082662375,1.0
11,15.0,1.0,0.0,5000.0,0.0,5579.581584557418,251.78703790734386,1.0
12,20.0,0.25,0.0,5000.0,0.0,5562.064792895608,269.38106479380707,1.0
13,18.0,1.0,0.0,5000.0,0.0,5519.3385821743905,256.82109740367446,1.0
14,20.0,0.5,0.0,5000.0,0.0,5509.805932904378,261.7022237749657,1.0
15,22.0,0.25,0.0,5000.0,0.0,5482.027311339056,288.0061963836533,1.0
16,20.0,0.75,0.0,5000.0,0.0,5454.427861142346,321.7446781366598,1.0
17,20.0,1.0,0.0,4989.84,49.86395892826802,5377.591573903608,389.68913261764106,0.96
18,22.0,0.5,0.0,4986.58,66.29150473476975,5376.0734963404,345.0393124966129,0.96
19,22.0,0.0,0.0,4975.86,110.8207579833309,5311.556903012156,386.1039522836487,0.92
20,22.0,1.0,0.0,4968.16,121.74635271744283,5405.951575221103,428.2140505089372,0.88
21,12.0,0.25,0.0,4950.9,202.45881062576655,5626.001453858324,503.85231991182974,0.94
22,22.0,0.75,0.0,4945.02,143.31077977598196,5200.54086373112,458.37777662629134,0.78
23,25.0,0.0,0.0,4775.32,345.5823745505549,4951.887120435174,646.6088190234715,0.56
24,25.0,0.5,0.0,4740.1,431.2675387737871,5018.928047653112,757.1966445915997,0.66
25,25.0,0.25,0.0,4705.64,430.63106065401274,4949.753398925683,802.4292696070999,0.54
26,25.0,0.75,0.0,4587.9,557.4245150690809,4797.451540458057,900.2960874896228,0.5
27,12.0,0.5,0.0,4578.1,757.2894624910609,4968.98907494502,1055.6179445362093,0.64
28,25.0,1.0,0.0,4517.84,539.1394758316256,4683.453474167928,870.5494685656755,0.44
29,12.0,0.75,0.0,4494.86,738.3113708998392,4818.901345594688,1045.8002202417435,0.54
30,28.0,0.0,0.0,4417.54,599.7380164705252,4561.798821148806,906.5317396558783,0.38
31,28.0,0.25,0.0,4345.54,623.4356489646707,4443.979389959931,875.1472038454089,0.38
32,28.0,0.75,0.0,4240.58,582.9545810781489,4260.370461099206,774.8946874789762,0.12
33,28.0,0.5,0.0,4195.66,635.1653835025961,4265.240811941733,911.3166788186585,0.2
34,28.0,1.0,0.0,4107.38,703.9964457296642,4161.715994688465,953.156692344089,0.24
35,12.0,1.0,0.0,3830.84,1006.746430040852,3906.638420352532,1215.7447338175423,0.18
36,10.0,0.75,0.0,834.32,523.2540660138246,731.8867809070686,568.8227674922255,0.0
37,10.0,1.0,0.0,833.4,446.3218569597505,735.6900338843344,479.5650804293405,0.0
38,10.0,0.25,0.0,805.2,679.1306207203442,713.340985930909,751.3969242537502,0.0
39,10.0,0.0,0.0,766.4,917.5866607574459,691.1253325267257,1106.8221411606655,0.04
40,10.0,0.5,0.0,677.92,502.6040525105224,569.4365975090864,539.3076530430351,0.0
