rank,kp,ki,kd,mean_steps,std_steps,mean_reward,std_reward,survival_rate
1,40.0,0.0,0.0,2897.6,637.3719793025106,2833.319801590528,734.9410121770768,0.0
2,40.0,1.0,0.0,2552.2,331.8194689887861,2459.2349758967775,379.1439462039772,0.0
3,50.0,0.0,0.0,2044.8,373.6610228536019,1922.722421634792,440.5683496075426,0.0
4,60.0,0.0,0.0,1859.8,515.3978657309322,1741.6815446352095,620.8024557549044,0.0
5,50.0,1.0,0.0,1805.2,245.78559762524736,1627.5515157276345,282.4475238745673,0.0
6,60.0,1.0,0.0,1621.4,279.987571152721,1465.928792871853,316.8001094295575,0.0
7,50.0,1.0,2.0,96.8,41.40241538847703,-15.054912711567095,32.82343546348045,0.0
8,60.0,1.0,2.0,78.2,22.480213522117623,-33.40011904214698,21.446911917181556,0.0
9,50.0,0.0,2.0,76.8,28.294169010592977,-28.48473709315366,28.35290311154517,0.0
10,40.0,0.0,2.0,65.2,11.906300852909775,-37.42631629759813,12.149151531020378,0.0
11,60.0,0.0,2.0,63.8,7.547184905645283,-45.25806338792451,4.004074866013961,0.0
12,40.0,1.0,2.0,61.4,3.1368774282716245,-41.36186111326442,3.2598106010300176,0.0
