t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139290.504596,0.000000,349,-303,-508,-879,-16596,-63,-1871,10,1198,-386,-16268,-2,1889,-48
1780139290.520484,0.015888,349,-303,-841,-797,-16657,-64,-1726,34,1379,-391,-16262,-7,1591,-27
1780139290.536154,0.031558,349,-303,-962,-855,-16555,-37,-1399,39,1450,-375,-16249,-8,1420,-17
1780139290.551782,0.047186,349,-303,-881,-876,-16630,-38,-1230,41,1328,-329,-16301,-22,1100,9
1780139290.567623,0.063027,349,-303,-825,-916,-16633,-49,-959,39,1265,-283,-16276,-11,966,-5
1780139290.583275,0.078679,349,-303,-829,-932,-16627,-45,-845,39,1379,-268,-16308,-11,746,5
1780139290.598905,0.094309,349,-303,-959,-949,-16576,-57,-597,41,1455,-296,-16311,-1,606,14
1780139290.614503,0.109907,349,-303,-985,-952,-16635,-44,-446,35,1480,-284,-16309,-16,316,16
1780139290.630158,0.125562,349,-303,-1016,-978,-16625,-54,-126,47,1471,-212,-16257,-9,-22,26
1780139290.645793,0.141197,349,-303,-953,-1016,-16568,-43,199,42,1403,-211,-16317,-8,-174,27
1780139290.661477,0.156881,349,-303,-817,-947,-16619,-54,341,47,1257,-299,-16320,2,-449,39
1780139290.677182,0.172586,349,-303,-768,-935,-16587,-45,591,61,1218,-323,-16275,-1,-571,42
1780139290.692811,0.188215,349,-303,-674,-909,-16640,-37,695,48,1133,-314,-16320,-14,-774,49
1780139290.708450,0.203854,349,-303,-644,-891,-16613,-47,854,55,1029,-330,-16272,-5,-857,46
1780139290.724704,0.220108,349,-303,-432,-905,-16608,-32,898,61,848,-353,-16271,-6,-934,49
1780139290.740508,0.235912,349,-303,-236,-853,-16641,-52,880,50,724,-348,-16262,-1,-887,50
1780139290.756230,0.251634,349,-303,-130,-844,-16653,-37,839,70,583,-360,-16266,-4,-835,42
1780139290.771906,0.267310,349,-303,42,-855,-16599,-53,697,50,377,-430,-16285,3,-690,40
1780139290.787524,0.282928,349,-303,133,-770,-16634,-41,592,53,375,-491,-16294,-11,-586,33
1780139290.803161,0.298565,349,-303,88,-795,-16623,-29,415,58,413,-419,-16242,-6,-417,27
1780139290.818841,0.314245,349,-303,76,-874,-16575,-34,235,43,383,-361,-16307,-22,-326,39
1780139290.834556,0.329960,349,-303,102,-912,-16625,-30,158,48,369,-303,-16291,-13,-160,19
1780139290.850328,0.345732,349,-303,56,-916,-16629,-38,-1,52,391,-290,-16310,-15,-78,25
1780139290.866015,0.361419,349,-303,88,-977,-16617,-38,-73,49,403,-278,-16278,5,76,9
1780139290.881723,0.377127,349,-303,84,-923,-16591,-60,-238,42,407,-273,-16286,10,221,25
1780139290.897351,0.392755,349,-303,48,-893,-16608,-67,-300,48,448,-273,-16283,17,284,10
1780139290.912948,0.408352,349,-303,-226,-940,-16640,-71,-398,38,781,-316,-16247,21,358,1
1780139290.929467,0.424871,349,-303,-341,-907,-16592,-68,-392,35,825,-295,-16313,-1,339,-3
1780139290.945277,0.440681,349,-303,-348,-948,-16650,-56,-288,45,838,-259,-16339,4,245,13
1780139290.960955,0.456359,349,-303,-300,-929,-16619,-55,-247,54,755,-246,-16249,8,202,20
1780139290.976669,0.472073,349,-303,-276,-968,-16680,-58,-185,50,728,-258,-16328,14,155,10
1780139290.992281,0.487685,349,-303,-227,-959,-16617,-54,-173,37,681,-264,-16182,10,132,22
1780139291.007921,0.503325,349,-303,-10,-1024,-16830,-66,-199,34,473,-209,-16520,14,178,22
1780139291.023700,0.519104,349,-303,-43,-1003,-16749,-49,-302,14,683,-317,-16039,1,259,3
1780139291.039521,0.534925,349,-303,-75,-899,-16728,-59,-275,34,597,-279,-16465,-5,234,3
1780139291.055279,0.550683,349,-303,51,-1080,-16457,-46,-270,26,482,-148,-16102,-23,253,21
1780139291.070965,0.566369,349,-303,-47,-1168,-16548,-31,-364,53,594,-21,-16310,-17,344,33
1780139291.086563,0.581967,349,-303,-145,-1133,-16583,-25,-505,50,682,-109,-16209,-20,478,12
1780139291.102249,0.597653,349,-303,-231,-1047,-16584,-45,-523,52,741,-190,-16287,-12,478,15
1780139291.117868,0.613272,349,-303,-309,-1016,-16585,-58,-455,20,778,-218,-16254,11,407,-6
1780139291.134216,0.629620,349,-303,-236,-1041,-16556,-72,-400,44,691,-268,-16323,15,354,22
1780139291.149993,0.645397,349,-303,-287,-989,-16642,-62,-398,46,761,-261,-16259,15,357,20
1780139291.165676,0.661080,349,-303,-264,-1013,-16626,-64,-450,40,799,-237,-16342,-3,403,6
1780139291.181357,0.676761,349,-303,-291,-934,-16635,-69,-476,29,796,-291,-16250,3,442,-2
1780139291.196975,0.692379,349,-303,-346,-877,-16534,-54,-536,27,851,-352,-16355,1,492,-8
1780139291.212650,0.708054,349,-303,-444,-829,-16655,-55,-545,17,917,-359,-16346,2,517,-1
1780139291.228336,0.723740,349,-303,-565,-848,-16613,-60,-545,46,1005,-421,-16322,-2,512,16
1780139291.243906,0.739310,349,-303,-549,-838,-16662,-54,-532,50,997,-422,-16324,-5,489,6
1780139291.259692,0.755096,349,-303,-630,-808,-16636,-65,-501,21,1116,-400,-16330,6,474,-2
1780139291.275399,0.770803,349,-303,-640,-885,-16607,-55,-483,11,1141,-241,-16272,-8,412,-8
1780139291.291080,0.786484,349,-303,-724,-961,-16662,-44,-379,25,1223,-282,-16294,-16,363,4
1780139291.306728,0.802132,349,-303,-779,-962,-16621,-43,-304,38,1315,-238,-16264,-20,210,20
1780139291.322417,0.817822,349,-303,-774,-973,-16639,-43,-147,49,1311,-251,-16298,-9,116,7
1780139291.339029,0.834433,349,-303,-817,-1002,-16587,-44,33,42,1276,-248,-16322,-6,-63,40
1780139291.354806,0.850210,349,-303,-879,-961,-16606,-46,128,50,1289,-218,-16316,2,-256,20
1780139291.370515,0.865919,349,-303,-876,-944,-16559,-58,349,43,1356,-284,-16303,5,-356,30
1780139291.386198,0.881602,349,-303,-940,-929,-16620,-49,474,53,1409,-311,-16311,-7,-630,34
1780139291.401879,0.897283,349,-303,-941,-944,-16600,-27,756,39,1396,-254,-16310,1,-765,57
1780139291.417542,0.912946,349,-303,-1006,-944,-16637,-41,892,50,1435,-270,-16272,-10,-1059,53
1780139291.433236,0.928640,349,-303,-1013,-931,-16603,-37,1209,54,1435,-309,-16268,-19,-1217,56
1780139291.448980,0.944384,349,-303,-993,-940,-16597,-45,1364,47,1471,-276,-16310,-8,-1529,52
1780139291.464821,0.960225,349,-303,-975,-907,-16621,-41,1703,55,1469,-315,-16288,-7,-1709,56
1780139291.480523,0.975927,349,-303,-977,-929,-16608,-44,2079,45,1423,-304,-16275,-1,-2068,84
1780139291.496174,0.991578,349,-303,-858,-907,-16620,-54,2257,60,1320,-351,-16280,8,-2459,73
1780139291.511851,1.007255,349,-303,-811,-865,-16592,-51,2628,63,1220,-358,-16266,35,-2628,85
1780139291.527509,1.022913,349,-303,-610,-909,-16564,-53,2794,80,993,-376,-16261,26,-2955,111
1780139291.544596,1.040000,349,-303,-434,-866,-16586,-67,3152,71,929,-383,-16226,10,-3119,117
1780139291.560470,1.055874,349,-303,-295,-882,-16597,-60,3321,76,650,-365,-16212,13,-3465,127
1780139291.576140,1.071544,349,-303,327,-885,-16560,-36,3570,88,346,-404,-16156,0,-3658,148
1780139291.591754,1.087158,349,-303,664,-896,-16626,-34,3609,85,-305,-338,-16207,-11,-3631,138
1780139291.607389,1.102793,349,-303,981,-939,-16569,-20,3479,77,-510,-318,-16194,-29,-3466,132
1780139291.623019,1.118423,349,-303,1013,-921,-16614,-6,3307,68,-526,-308,-16189,-23,-3396,110
1780139291.638635,1.134039,349,-303,979,-1073,-16533,-19,3262,63,-502,-164,-16153,-22,-3285,134
1780139291.654399,1.149803,349,-303,999,-1073,-16525,-50,3227,82,-495,-155,-16203,-5,-3281,131
1780139291.670247,1.165651,349,-303,982,-978,-16593,-51,3243,73,-515,-284,-16201,2,-3306,118
1780139291.686000,1.181404,349,-303,1096,-936,-16521,-57,3334,69,-558,-290,-16194,13,-3365,130
1780139291.701697,1.197101,349,-303,1271,-909,-16520,-44,3357,76,-956,-277,-16117,12,-3414,120
1780139291.717360,1.212764,349,-303,1923,-864,-16539,-44,3281,77,-1278,-359,-16135,-4,-3281,131
1780139291.732998,1.228402,349,-303,2112,-841,-16545,-28,3157,84,-1664,-351,-16152,-11,-3134,121
1780139291.749796,1.245200,349,-303,2181,-973,-16505,-25,2843,57,-1742,-278,-16054,-18,-2825,100
