t_unix,t_rel_s,enc_m1,enc_m2,slot0_bus1_ax,slot0_bus1_ay,slot0_bus1_az,slot0_bus1_gx,slot0_bus1_gy,slot0_bus1_gz,slot1_bus1_ax,slot1_bus1_ay,slot1_bus1_az,slot1_bus1_gx,slot1_bus1_gy,slot1_bus1_gz
1780408872.774404,0.000000,-53,82,-70,-217,-16543,-40,9,47,-70,-217,-16543,-40,9,47
1780408872.793783,0.019378,-53,82,8,-238,-16557,-38,-12,45,8,-238,-16557,-38,-12,45
1780408872.812929,0.038525,-53,82,-80,-232,-16516,-30,-9,37,-80,-232,-16516,-30,-9,37
1780408872.831987,0.057582,-53,82,-64,-222,-16514,-25,-12,36,-64,-222,-16514,-25,-12,36
1780408872.850988,0.076584,-53,82,-46,-214,-16544,-28,-18,35,-46,-214,-16544,-28,-18,35
1780408872.870142,0.095737,-53,82,-86,-199,-16569,-45,-1,24,-86,-199,-16569,-45,-1,24
1780408872.889139,0.114735,-53,82,27,-240,-16565,-44,6,54,27,-240,-16565,-44,6,54
1780408872.908204,0.133799,-53,82,-79,-216,-16536,-29,-11,37,-79,-216,-16536,-29,-11,37
1780408872.927306,0.152902,-53,82,-76,-204,-16540,-37,-2,14,-76,-204,-16540,-37,-2,14
1780408872.946361,0.171957,-53,82,-62,-258,-16538,-36,4,43,-62,-258,-16538,-36,4,43
1780408872.965375,0.190971,-53,82,-90,-190,-16565,-28,-17,37,-90,-190,-16565,-28,-17,37
1780408872.984405,0.210001,-53,82,-89,-241,-16558,-43,12,41,-89,-241,-16558,-43,12,41
1780408873.003422,0.229017,-53,82,-3,-268,-16622,-19,-16,23,-3,-268,-16622,-19,-16,23
1780408873.022527,0.248122,-53,82,-122,-234,-16545,-27,0,37,-122,-234,-16545,-27,0,37
1780408873.041581,0.267177,-53,82,-9,-242,-16535,-37,6,35,-9,-242,-16535,-37,6,35
1780408873.060606,0.286202,-53,82,-45,-242,-16545,-35,-12,32,-45,-242,-16545,-35,-12,32
1780408873.079643,0.305239,-53,82,-116,-186,-16549,-51,0,35,-116,-186,-16549,-51,0,35
1780408873.098623,0.324219,-53,82,-20,-241,-16530,-36,-4,40,-20,-241,-16530,-36,-4,40
1780408873.117621,0.343217,-53,82,-124,-222,-16568,-22,-9,26,-124,-222,-16568,-22,-9,26
1780408873.136802,0.362397,-53,82,-75,-202,-16499,-35,10,51,-75,-202,-16499,-35,10,51
1780408873.155926,0.381521,-53,82,-47,-237,-16524,-25,-13,38,-47,-237,-16524,-25,-13,38
1780408873.174953,0.400548,-53,82,-101,-185,-16497,-57,7,46,-101,-185,-16497,-57,7,46
1780408873.193990,0.419586,-53,82,-29,-197,-16534,-43,-3,37,-29,-197,-16534,-43,-3,37
1780408873.213174,0.438770,-53,82,-33,-220,-16530,-29,-25,35,-33,-220,-16530,-29,-25,35
1780408873.234862,0.460457,-53,82,-71,-202,-16583,-41,-6,30,-71,-202,-16583,-41,-6,30
1780408873.253975,0.479571,-53,82,-52,-204,-16585,-48,33,27,-52,-204,-16585,-48,33,27
1780408873.273006,0.498601,-53,82,-86,-191,-16528,-41,-19,28,-86,-191,-16528,-41,-19,28
1780408873.292199,0.517795,-53,82,-66,-176,-16555,-42,3,53,-66,-176,-16555,-42,3,53
1780408873.311544,0.537139,-53,82,-60,-206,-16529,-43,-3,36,-60,-206,-16529,-43,-3,36
1780408873.330634,0.556230,-53,82,-27,-217,-16628,-43,-3,51,-27,-217,-16628,-43,-3,51
1780408873.349726,0.575321,-53,82,-42,-223,-16557,-42,10,26,-42,-223,-16557,-42,10,26
1780408873.368840,0.594435,-53,82,-90,-248,-16556,-39,-12,45,-90,-248,-16556,-39,-12,45
1780408873.387906,0.613501,-53,82,-107,-209,-16529,-43,0,34,-107,-209,-16529,-43,0,34
1780408873.406933,0.632529,-53,82,0,-271,-16526,-48,3,37,0,-271,-16526,-48,3,37
1780408873.426005,0.651600,-53,82,-60,-214,-16515,-31,-11,25,-60,-214,-16515,-31,-11,25
1780408873.444990,0.670586,-53,82,-81,-186,-16574,-34,4,35,-81,-186,-16574,-34,4,35
1780408873.464003,0.689599,-53,82,-15,-210,-16604,-37,-14,29,-15,-210,-16604,-37,-14,29
